date,open,high,low,close
2022-02-24 11:30:00,761.44,765.969,761.15,764.45
2022-02-24 11:29:00,763.52,764.37,760.61,761.135
2022-02-24 11:28:00,762.305,764.4485,761.35,763.3583
2022-02-24 11:27:00,763.4657,764.6699,761.1301,761.95
2022-02-24 11:26:00,765.265,766.45,763.01,763.01
2022-02-24 11:25:00,764.0988,766.46,763.69,765.9222
2022-02-24 11:24:00,765.0581,767.255,764.0,764.82
2022-02-24 11:23:00,767.08,769.89,764.205,765.6633
2022-02-24 11:22:00,767.024,768.8799,766.34,767.9599
2022-02-24 11:21:00,768.32,769.9899,765.5368,767.29
2022-02-24 11:20:00,770.0844,771.83,767.49,768.31
2022-02-24 11:19:00,765.49,770.9999,765.285,770.505
2022-02-24 11:18:00,764.385,767.0,763.185,765.6825
2022-02-24 11:17:00,762.07,764.0,760.8159,763.97
2022-02-24 11:16:00,762.36,763.9999,761.1801,762.28
2022-02-24 11:15:00,764.3999,764.5374,762.046,762.5501
2022-02-24 11:14:00,765.83,765.83,763.995,763.995
2022-02-24 11:13:00,765.17,767.5,764.4401,766.113
2022-02-24 11:12:00,764.625,765.4299,762.74,765.28
2022-02-24 11:11:00,760.85,765.8,760.85,764.615
2022-02-24 11:10:00,763.47,763.7969,759.0,761.61
2022-02-24 11:09:00,763.4651,764.97,762.17,763.35
2022-02-24 11:08:00,761.7,764.25,760.34,763.679
2022-02-24 11:07:00,757.52,762.7299,757.215,761.4001
2022-02-24 11:06:00,758.01,758.01,755.08,757.135
2022-02-24 11:05:00,754.53,758.66,754.53,757.585
2022-02-24 11:04:00,752.6752,756.64,724.06,754.14
2022-02-24 11:03:00,755.558,757.65,752.62,752.99
2022-02-24 11:02:00,761.0,761.05,754.47,755.5401
2022-02-24 11:01:00,759.32,763.6,759.29,760.1
2022-02-24 11:00:00,759.31,760.3,756.11,759.15
2022-02-24 10:59:00,761.41,768.35,758.44,758.9217
2022-02-24 10:58:00,764.665,768.82,761.0501,761.93
2022-02-24 10:57:00,766.02,768.79,763.35,764.98
2022-02-24 10:56:00,768.1224,768.26,766.01,766.6
2022-02-24 10:55:00,764.51,769.33,764.51,768.35
2022-02-24 10:54:00,769.3,769.44,724.06,764.9065
2022-02-24 10:53:00,762.03,769.44,762.01,769.44
2022-02-24 10:52:00,765.3584,765.6436,762.05,762.46
2022-02-24 10:51:00,763.0,766.0,763.0,764.98
2022-02-24 10:50:00,767.81,768.9599,752.765,763.61
2022-02-24 10:49:00,767.04,770.79,751.805,767.5
2022-02-24 10:48:00,765.07,768.79,753.77,767.5466
2022-02-24 10:47:00,764.3428,766.5,753.86,765.0701
2022-02-24 10:46:00,756.9536,764.8799,756.0,764.11
2022-02-24 10:45:00,757.2,761.47,757.0,757.0
2022-02-24 10:44:00,759.7,759.75,755.5,757.46
2022-02-24 10:43:00,753.6899,760.12,751.665,759.7475
2022-02-24 10:42:00,753.785,759.285,752.0,753.4
2022-02-24 10:41:00,752.97,755.3412,752.79,753.785
2022-02-24 10:40:00,756.71,757.5514,751.0101,752.968
2022-02-24 10:39:00,757.5835,758.0,755.3,756.925
2022-02-24 10:38:00,754.8,757.84,753.36,757.455
2022-02-24 10:37:00,754.2601,758.02,753.35,754.4163
2022-02-24 10:36:00,757.41,758.255,754.47,754.47
2022-02-24 10:35:00,759.5859,761.22,757.0,757.0
2022-02-24 10:34:00,760.62,763.2941,756.385,759.7553
2022-02-24 10:33:00,757.66,761.95,756.73,761.3099
2022-02-24 10:32:00,755.0601,759.94,754.7,757.436
2022-02-24 10:31:00,751.89,756.65,751.33,755.49
2022-02-24 10:30:00,755.65,755.84,751.33,752.17
2022-02-24 10:29:00,756.2719,757.9999,754.62,756.02
2022-02-24 10:28:00,757.19,761.4,755.7,756.05
2022-02-24 10:27:00,755.86,764.015,755.45,757.19
2022-02-24 10:26:00,758.4,765.565,755.03,755.68
2022-02-24 10:25:00,763.1044,770.193,758.46,758.62
2022-02-24 10:24:00,760.775,772.14,760.55,762.7136
2022-02-24 10:23:00,765.03,774.13,760.55,761.33
2022-02-24 10:22:00,772.0,772.45,764.1835,765.11
2022-02-24 10:21:00,768.3901,774.7,767.69,772.065
2022-02-24 10:20:00,764.69,770.0,763.697,767.8148
2022-02-24 10:19:00,768.6938,769.0,764.1501,764.685
2022-02-24 10:18:00,762.38,769.0,760.66,768.9304
2022-02-24 10:17:00,758.03,762.39,757.83,761.5701
2022-02-24 10:16:00,756.9,758.8828,756.5,758.0908
2022-02-24 10:15:00,754.31,757.99,754.0201,756.9
2022-02-24 10:14:00,753.17,755.5699,750.11,754.4
2022-02-24 10:13:00,750.4,756.69,750.01,753.16
2022-02-24 10:12:00,751.885,752.82,748.85,750.9999
2022-02-24 10:11:00,748.0066,752.4999,747.5,752.0
2022-02-24 10:10:00,748.115,748.71,745.5,747.845
2022-02-24 10:09:00,745.16,748.3999,743.59,748.1
2022-02-24 10:08:00,740.3834,746.7086,740.34,745.47
2022-02-24 10:07:00,740.925,742.41,740.25,740.76
2022-02-24 10:06:00,736.25,742.99,736.09,740.9807
2022-02-24 10:05:00,740.6305,740.85,736.0468,736.535
2022-02-24 10:04:00,740.6,743.19,740.12,740.42
2022-02-24 10:03:00,741.475,743.5299,740.6001,741.01
2022-02-24 10:02:00,743.1983,746.84,741.0,741.67
2022-02-24 10:01:00,745.81,746.9199,740.74,743.05
2022-02-24 10:00:00,748.71,749.24,744.3,745.99
2022-02-24 09:59:00,750.385,750.7599,746.0005,749.3242
2022-02-24 09:58:00,745.8374,750.4,744.4001,750.23
2022-02-24 09:57:00,749.97,750.0,745.0,745.5
2022-02-24 09:56:00,749.38,752.3999,747.08,749.6201
2022-02-24 09:55:00,747.23,749.73,744.31,748.7
2022-02-24 09:54:00,750.85,751.7,745.81,746.79
2022-02-24 09:53:00,745.37,753.4999,745.37,751.0
2022-02-24 09:52:00,746.57,747.4,744.7,745.8894
2022-02-24 09:51:00,750.67,750.67,743.11,746.0
2022-02-24 09:50:00,748.69,751.4899,746.01,750.79
2022-02-24 09:49:00,744.4101,748.7,742.53,748.65
2022-02-24 09:48:00,740.0,744.42,739.0,744.42
2022-02-24 09:47:00,741.0,741.73,736.08,739.9215
2022-02-24 09:46:00,736.86,742.915,736.86,741.6555
2022-02-24 09:45:00,735.74,737.49,733.0001,736.925
2022-02-24 09:44:00,728.51,736.7,728.23,736.1216
2022-02-24 09:43:00,726.233,729.85,724.61,728.26
2022-02-24 09:42:00,723.79,729.8,723.5,725.81
2022-02-24 09:41:00,722.94,725.31,722.0101,724.18
2022-02-24 09:40:00,731.39,731.7499,720.13,722.9768
2022-02-24 09:39:00,732.23,733.8432,729.38,731.0
2022-02-24 09:38:00,730.5316,732.26,726.69,732.26
2022-02-24 09:37:00,732.08,732.49,725.61,730.22
2022-02-24 09:36:00,724.58,732.49,723.26,732.0
2022-02-24 09:35:00,715.92,724.4999,715.49,724.3202
2022-02-24 09:34:00,718.69,720.0,712.15,716.6113
2022-02-24 09:33:00,727.75,729.7999,718.68,718.68
2022-02-24 09:32:00,724.3,728.56,720.72,727.76
